sr_no,benchmark,kernel_name,C/M,reg_thread,smem_pblock,no_of_cmpinst,no_of_globinst,no_of_sharinst,miscelleneous,no_of_blocks,threads_pbl,occupancy,power
1,simpleHyperQ,kernel_A,C/M,8,0,8,3,0,0,1,1,0.25,58.029
2,simpleHyperQ,kernel_B,C/M,8,0,8,3,0,0,1,1,0.25,58.029
3,Basic,div,C/M,13,0,13,2,0,0,1024,16,0.25,68.71354
4,Basic,div,C/M,13,0,13,2,0,0,1024,32,0.25,70.67411
5,Basic,div,C/M,13,0,13,2,0,0,512,16,0.25,65.80665
6,Basic,div,C/M,13,0,13,2,0,0,512,32,0.25,66.85619
7,Basic,div,C/M,13,0,13,2,0,0,256,16,0.25,64.32306
8,Basic,div,C/M,13,0,13,2,0,0,256,32,0.25,64.74339
9,Basic,div,C/M,13,0,13,2,0,0,128,16,0.25,63.75511
10,Basic,div,C/M,13,0,13,2,0,0,128,32,0.25,63.93848
11,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,1024,16,0.25,69.50112
12,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,1024,32,0.25,70.90295
13,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,512,16,0.25,66.20555
14,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,512,32,0.25,67.16311
15,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,256,16,0.25,64.77378
16,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,256,32,0.25,65.18788
17,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,128,16,0.25,63.98408
18,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,128,32,0.25,64.23996
19,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,10240,16,0.25,86.93273
20,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,10240,32,0.25,94.90016
21,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,5120,16,0.25,79.59915
22,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,5120,32,0.25,91.23186
23,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,2560,16,0.25,76.48405
24,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,2560,32,0.25,79.47178
25,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,1280,16,0.25,71.01216
26,Vector Addition,vectorAdd,C/M,10,0,13,7,0,2,1280,32,0.25,73.14479
27,saxpy,Saxpy,M,7,0,14,9,0,0,1024,16,0.25,68.74706
28,saxpy,Saxpy,M,7,0,14,9,0,0,1024,32,0.25,70.28766
29,saxpy,Saxpy,M,7,0,14,9,0,0,512,16,0.25,66.03399
30,saxpy,Saxpy,M,7,0,14,9,0,0,512,32,0.25,67.02265
